tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
360,2014-01-31 15:29:51,2014-01-31 15:35:51,47,E 20 St & Park Ave,40.73818,-73.98433,60,Columbus Ave & W 72 St,40.77813,-73.97371,20018,Customer,1992,0
300,2014-01-31 23:55:00,2014-02-01 00:00:00,44,St James Pl & Pearl St,40.71117,-74.00016,8,Hudson St & Reade St,40.71534,-74.00915,20003,Subscriber,1987,1
1320,2014-01-31 10:02:13,2014-01-31 10:24:13,8,Hudson St & Reade St,40.71534,-74.00915,41,Grand St & Elizabeth St,40.7185,-73.9972,20025,Customer,1977,2
720,2014-01-31 13:14:00,2014-01-31 13:26:00,47,E 20 St & Park Ave,40.73818,-73.98433,52,E 33 St & 1 Ave,40.74402,-73.97196,20005,Customer,1967,0
1920,2014-01-31 10:17:13,2014-01-31 10:49:13,9,W 52 St & 9 Ave,40.7644,-73.9878,52,E 33 St & 1 Ave,40.74402,-73.97196,20013,Customer,1953,1
2100,2014-01-31 12:22:32,2014-01-31 12:57:32,28,Stanton St & Chrystie St,40.72229,-73.99147,60,Columbus Ave & W 72 St,40.77813,-73.97371,20027,Subscriber,1993,2
1800,2014-01-31 11:56:53,2014-01-31 12:26:53,47,E 20 St & Park Ave,40.73818,-73.98433,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20014,Customer,1960,1
1500,2014-01-31 14:43:08,2014-01-31 15:08:08,52,E 33 St & 1 Ave,40.74402,-73.97196,47,E 20 St & Park Ave,40.73818,-73.98433,20029,Subscriber,1959,2
720,2014-01-31 13:00:00,2014-01-31 13:12:00,60,Columbus Ave & W 72 St,40.77813,-73.97371,47,E 20 St & Park Ave,40.73818,-73.98433,20005,Subscriber,2000,1
420,2014-01-31 12:12:00,2014-01-31 12:19:00,8,Hudson St & Reade St,40.71534,-74.00915,7,Washington Square E,40.73049,-73.99572,20004,Customer,1959,1
720,2014-01-31 17:07:00,2014-01-31 17:19:00,7,Washington Square E,40.73049,-73.99572,8,Hudson St & Reade St,40.71534,-74.00915,20009,Customer,1975,2
720,2014-01-31 14:37:23,2014-01-31 14:49:23,60,Columbus Ave & W 72 St,40.77813,-73.97371,41,Grand St & Elizabeth St,40.7185,-73.9972,20017,Subscriber,1983,2
1680,2014-01-31 11:58:04,2014-01-31 12:26:04,9,W 52 St & 9 Ave,40.7644,-73.9878,41,Grand St & Elizabeth St,40.7185,-73.9972,20026,Customer,1987,0
