tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
900,2014-11-01 20:49:25,2014-11-01 21:04:25,147,Greenwich St & Warren St,40.71542197,-74.01121978,2000,Front St & Washington St,40.70255088,-73.98940236,16827,Customer,1985,2
720,2014-11-01 15:00:00,2014-11-01 15:12:00,303,Mercer St & Spring St,40.72362738,-73.99949601,503,E 20 St & Park Ave,40.73827428,-73.98751968,20027,Subscriber,1985,1
300,2014-11-01 12:34:21,2014-11-01 12:39:21,528,2 Ave & E 31 St,40.74290902,-73.97706058,523,W 38 St & 8 Ave,40.75466591,-73.99138152,15204,Subscriber,1979,1
840,2014-11-01 22:04:35,2014-11-01 22:18:35,317,E 6 St & Avenue B,40.72453734,-73.98185424,422,W 59 St & 10 Ave,40.770513,-73.988038,20821,Subscriber,1965,1
360,2014-11-01 06:44:01,2014-11-01 06:50:01,147,Greenwich St & Warren St,40.71542197,-74.01121978,509,9 Ave & W 22 St,40.7454973,-74.00197139,17099,Subscriber,1955,1
540,2014-11-01 12:13:00,2014-11-01 12:22:00,302,Avenue D & E 3 St,40.72082834,-73.97793172,328,Watts St & Greenwich St,40.72405549,-74.00965965,20006,Subscriber,1985,1
720,2014-11-01 23:50:00,2014-11-02 00:02:00,426,West St & Chambers St,40.71754834,-74.01322069,2012,E 27 St & 1 Ave,40.739445,-73.976806,20023,Subscriber,1985,1
720,2014-11-01 08:09:00,2014-11-01 08:21:00,465,Broadway & W 41 St,40.75513557,-73.98658032,348,W Broadway & Spring St,40.72490985,-74.00154702,20009,Subscriber,1985,1
1440,2014-11-01 16:00:05,2014-11-01 16:24:05,82,St James Pl & Pearl St,40.71117416,-74.00016545,329,Greenwich St & N Moore St,40.72043411,-74.01020609,18679,Subscriber,1968,1
960,2014-11-01 15:43:51,2014-11-01 15:59:51,406,Hicks St & Montague St,40.69512845,-73.99595065,347,W Houston St & Hudson St,40.72873888,-74.00748842,17087,Subscriber,1984,1
360,2014-11-01 09:25:51,2014-11-01 09:31:51,446,W 24 St & 7 Ave,40.74487634,-73.99529885,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,15819,Subscriber,1982,1
600,2014-11-01 15:12:39,2014-11-01 15:22:39,428,E 3 St & 1 Ave,40.72467721,-73.98783413,490,8 Ave & W 33 St,40.751551,-73.993934,18308,Subscriber,1992,2
1200,2014-11-01 09:49:19,2014-11-01 10:09:19,446,W 24 St & 7 Ave,40.74487634,-73.99529885,507,E 25 St & 2 Ave,40.73912601,-73.97973776,18237,Subscriber,1970,1
420,2014-11-01 00:00:00,2014-11-01 00:07:00,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,261,Johnson St & Gold St,40.69474881,-73.98362464,20015,Subscriber,1985,1
780,2014-11-01 09:11:44,2014-11-01 09:24:44,368,Carmine St & 6 Ave,40.73038599,-74.00214988,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,15521,Customer,1987,1
300,2014-11-01 17:43:59,2014-11-01 17:48:59,2010,Grand St & Greene St,40.72165481,-74.00234737,3002,South End Ave & Liberty St,40.711512,-74.015756,21245,Subscriber,1951,1
660,2014-11-01 12:44:57,2014-11-01 12:55:57,467,Dean St & 4 Ave,40.68312489,-73.97895137,295,Pike St & E Broadway,40.71406667,-73.99293911,18837,Subscriber,1980,0
1020,2014-11-01 12:08:56,2014-11-01 12:25:56,450,W 49 St & 8 Ave,40.76227205,-73.98788205,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17094,Subscriber,1992,1
780,2014-11-01 20:06:07,2014-11-01 20:19:07,479,9 Ave & W 45 St,40.76019252,-73.9912551,434,9 Ave & W 18 St,40.74317449,-74.00366443,18174,Subscriber,1982,1
1080,2014-11-01 06:44:19,2014-11-01 07:02:19,217,Old Fulton St,40.70277159,-73.99383605,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17267,Subscriber,1975,1
1080,2014-11-01 17:00:22,2014-11-01 17:18:22,2004,6 Ave & Broome St,40.724399,-74.004704,526,E 33 St & 5 Ave,40.74765947,-73.98490707,15752,Subscriber,1981,2
420,2014-11-01 09:38:57,2014-11-01 09:45:57,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,402,Broadway & E 22 St,40.7403432,-73.98955109,15145,Subscriber,1970,1
