tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1140,2014-01-31 13:04:59,2014-01-31 13:23:59,41,Grand St & Elizabeth St,40.7185,-73.9972,60,Columbus Ave & W 72 St,40.77813,-73.97371,20045,Subscriber,1988,2
1920,2014-01-31 15:53:53,2014-01-31 16:25:53,47,E 20 St & Park Ave,40.73818,-73.98433,44,St James Pl & Pearl St,40.71117,-74.00016,20011,Customer,1991,0
840,2014-01-31 14:36:12,2014-01-31 14:50:12,52,E 33 St & 1 Ave,40.74402,-73.97196,60,Columbus Ave & W 72 St,40.77813,-73.97371,20034,Subscriber,1984,2
1200,2014-01-31 07:50:59,2014-01-31 08:10:59,41,Grand St & Elizabeth St,40.7185,-73.9972,44,St James Pl & Pearl St,40.71117,-74.00016,20015,Subscriber,1987,1
2100,2014-01-31 16:22:06,2014-01-31 16:57:06,8,Hudson St & Reade St,40.71534,-74.00915,47,E 20 St & Park Ave,40.73818,-73.98433,20012,Customer,1959,2
720,2014-01-31 10:37:23,2014-01-31 10:49:23,60,Columbus Ave & W 72 St,40.77813,-73.97371,41,Grand St & Elizabeth St,40.7185,-73.9972,20030,Subscriber,1983,2
1920,2014-01-31 18:17:13,2014-01-31 18:49:13,9,W 52 St & 9 Ave,40.7644,-73.9878,52,E 33 St & 1 Ave,40.74402,-73.97196,20026,Customer,1953,1
360,2014-01-31 17:16:23,2014-01-31 17:22:23,8,Hudson St & Reade St,40.71534,-74.00915,60,Columbus Ave & W 72 St,40.77813,-73.97371,20037,Customer,1952,2
840,2014-01-31 10:26:17,2014-01-31 10:40:17,7,Washington Square E,40.73049,-73.99572,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20006,Subscriber,1969,0
480,2014-01-31 17:20:50,2014-01-31 17:28:50,47,E 20 St & Park Ave,40.73818,-73.98433,60,Columbus Ave & W 72 St,40.77813,-73.97371,20013,Subscriber,1975,0
480,2014-01-31 08:04:37,2014-01-31 08:12:37,47,E 20 St & Park Ave,40.73818,-73.98433,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20004,Subscriber,1959,0
1800,2014-01-31 11:53:15,2014-01-31 12:23:15,8,Hudson St & Reade St,40.71534,-74.00915,47,E 20 St & Park Ave,40.73818,-73.98433,20043,Customer,2004,1
