tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1920,2014-01-31 18:36:35,2014-01-31 19:08:35,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,22037,Customer,1956,2
1440,2014-01-31 18:39:50,2014-01-31 19:03:50,41,Grand St & Elizabeth St,40.7185,-73.9972,60,Columbus Ave & W 72 St,40.77813,-73.97371,21353,Subscriber,1972,0
420,2014-01-31 11:28:11,2014-01-31 11:35:11,47,E 20 St & Park Ave,40.73818,-73.98433,60,Columbus Ave & W 72 St,40.77813,-73.97371,21814,Customer,1999,1
420,2014-01-31 08:28:55,2014-01-31 08:35:55,7,Washington Square E,40.73049,-73.99572,28,Stanton St & Chrystie St,40.72229,-73.99147,20347,Subscriber,1972,2
540,2014-01-31 09:08:06,2014-01-31 09:17:06,9,W 52 St & 9 Ave,40.7644,-73.9878,28,Stanton St & Chrystie St,40.72229,-73.99147,20564,Subscriber,1972,1
1560,2014-01-31 14:43:27,2014-01-31 15:09:27,28,Stanton St & Chrystie St,40.72229,-73.99147,60,Columbus Ave & W 72 St,40.77813,-73.97371,22093,Customer,1952,0
1500,2014-01-31 12:34:59,2014-01-31 12:59:59,52,E 33 St & 1 Ave,40.74402,-73.97196,28,Stanton St & Chrystie St,40.72229,-73.99147,22799,Customer,1976,0
2100,2014-01-31 13:10:28,2014-01-31 13:45:28,47,E 20 St & Park Ave,40.73818,-73.98433,28,Stanton St & Chrystie St,40.72229,-73.99147,22260,Customer,1965,2
420,2014-01-31 10:35:13,2014-01-31 10:42:13,41,Grand St & Elizabeth St,40.7185,-73.9972,28,Stanton St & Chrystie St,40.72229,-73.99147,20985,Subscriber,1998,0
720,2014-01-31 14:12:27,2014-01-31 14:24:27,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,52,E 33 St & 1 Ave,40.74402,-73.97196,20377,Customer,1950,0
2040,2014-01-31 16:31:51,2014-01-31 17:05:51,7,Washington Square E,40.73049,-73.99572,60,Columbus Ave & W 72 St,40.77813,-73.97371,22215,Subscriber,1965,1
720,2014-01-31 17:53:02,2014-01-31 18:05:02,28,Stanton St & Chrystie St,40.72229,-73.99147,60,Columbus Ave & W 72 St,40.77813,-73.97371,22768,Customer,1968,2
1860,2014-01-31 18:39:21,2014-01-31 19:10:21,41,Grand St & Elizabeth St,40.7185,-73.9972,47,E 20 St & Park Ave,40.73818,-73.98433,20981,Customer,1969,2
480,2014-01-31 14:46:55,2014-01-31 14:54:55,41,Grand St & Elizabeth St,40.7185,-73.9972,60,Columbus Ave & W 72 St,40.77813,-73.97371,22717,Customer,2000,2
660,2014-01-31 09:27:35,2014-01-31 09:38:35,60,Columbus Ave & W 72 St,40.77813,-73.97371,52,E 33 St & 1 Ave,40.74402,-73.97196,21128,Subscriber,1959,0
600,2014-01-31 12:55:14,2014-01-31 13:05:14,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,47,E 20 St & Park Ave,40.73818,-73.98433,22943,Subscriber,1955,1
2100,2014-01-31 08:41:09,2014-01-31 09:16:09,47,E 20 St & Park Ave,40.73818,-73.98433,28,Stanton St & Chrystie St,40.72229,-73.99147,22195,Subscriber,1982,1
1620,2014-01-31 14:56:46,2014-01-31 15:23:46,52,E 33 St & 1 Ave,40.74402,-73.97196,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,21889,Customer,1977,2
1560,2014-01-31 14:42:47,2014-01-31 15:08:47,41,Grand St & Elizabeth St,40.7185,-73.9972,44,St James Pl & Pearl St,40.71117,-74.00016,22705,Customer,2001,1
1440,2014-01-31 14:28:20,2014-01-31 14:52:20,9,W 52 St & 9 Ave,40.7644,-73.9878,44,St James Pl & Pearl St,40.71117,-74.00016,20257,Subscriber,1999,2
2100,2014-01-31 18:30:03,2014-01-31 19:05:03,41,Grand St & Elizabeth St,40.7185,-73.9972,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,21245,Customer,1960,1
1200,2014-01-31 11:37:18,2014-01-31 11:57:18,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,44,St James Pl & Pearl St,40.71117,-74.00016,20818,Customer,1981,2
1620,2014-01-31 16:38:17,2014-01-31 17:05:17,47,E 20 St & Park Ave,40.73818,-73.98433,44,St James Pl & Pearl St,40.71117,-74.00016,22119,Subscriber,1968,1
1920,2014-01-31 17:41:07,2014-01-31 18:13:07,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,22600,Subscriber,1974,2
540,2014-01-31 14:36:37,2014-01-31 14:45:37,47,E 20 St & Park Ave,40.73818,-73.98433,44,St James Pl & Pearl St,40.71117,-74.00016,20125,Subscriber,1988,0
1980,2014-01-31 14:04:01,2014-01-31 14:37:01,9,W 52 St & 9 Ave,40.7644,-73.9878,44,St James Pl & Pearl St,40.71117,-74.00016,21961,Customer,1981,2
540,2014-01-31 11:13:25,2014-01-31 11:22:25,52,E 33 St & 1 Ave,40.74402,-73.97196,60,Columbus Ave & W 72 St,40.77813,-73.97371,21022,Customer,1955,0
1200,2014-01-31 11:07:40,2014-01-31 11:27:40,52,E 33 St & 1 Ave,40.74402,-73.97196,60,Columbus Ave & W 72 St,40.77813,-73.97371,22474,Subscriber,1996,1
1620,2014-01-31 07:58:06,2014-01-31 08:25:06,60,Columbus Ave & W 72 St,40.77813,-73.97371,44,St James Pl & Pearl St,40.71117,-74.00016,20334,Subscriber,1952,2
720,2014-01-31 15:01:04,2014-01-31 15:13:04,44,St James Pl & Pearl St,40.71117,-74.00016,60,Columbus Ave & W 72 St,40.77813,-73.97371,21782,Subscriber,1983,1
420,2014-01-31 17:47:11,2014-01-31 17:54:11,44,St James Pl & Pearl St,40.71117,-74.00016,41,Grand St & Elizabeth St,40.7185,-73.9972,22960,Customer,1999,0
960,2014-01-31 10:26:24,2014-01-31 10:42:24,9,W 52 St & 9 Ave,40.7644,-73.9878,28,Stanton St & Chrystie St,40.72229,-73.99147,22209,Customer,1968,1
1620,2014-01-31 07:11:15,2014-01-31 07:38:15,8,Hudson St & Reade St,40.71534,-74.00915,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20610,Subscriber,1975,2
1260,2014-01-31 08:52:33,2014-01-31 09:13:33,8,Hudson St & Reade St,40.71534,-74.00915,52,E 33 St & 1 Ave,40.74402,-73.97196,21055,Customer,1958,1
1920,2014-01-31 08:33:15,2014-01-31 09:05:15,7,Washington Square E,40.73049,-73.99572,52,E 33 St & 1 Ave,40.74402,-73.97196,22015,Customer,1971,0
1980,2014-01-31 16:39:28,2014-01-31 17:12:28,52,E 33 St & 1 Ave,40.74402,-73.97196,41,Grand St & Elizabeth St,40.7185,-73.9972,22599,Customer,1993,0
780,2014-01-31 10:07:53,2014-01-31 10:20:53,9,W 52 St & 9 Ave,40.7644,-73.9878,60,Columbus Ave & W 72 St,40.77813,-73.97371,20313,Customer,1967,2
