tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1200,2014-11-02 04:15:25,2014-11-02 04:35:25,379,W 31 St & 7 Ave,40.749156,-73.9916,432,E 7 St & Avenue A,40.72621788,-73.98379855,15677,Subscriber,1986,1
1140,2014-11-01 23:09:18,2014-11-01 23:28:18,294,Washington Square E,40.73049393,-73.9957214,257,Lispenard St & Broadway,40.71939226,-74.00247214,18990,Subscriber,1984,1
1800,2014-11-02 04:44:06,2014-11-02 05:14:06,498,Broadway & W 32 St,40.74854862,-73.98808416,301,E 2 St & Avenue B,40.72217444,-73.98368779,16996,Subscriber,1986,1
900,2014-11-01 03:55:09,2014-11-01 04:10:09,217,Old Fulton St,40.70277159,-73.99383605,494,W 26 St & 8 Ave,40.74734825,-73.99723551,18657,Subscriber,1970,1
1140,2014-11-01 17:10:50,2014-11-01 17:29:50,347,W Houston St & Hudson St,40.72873888,-74.00748842,291,Madison St & Montgomery St,40.713126,-73.984844,19390,Subscriber,1987,1
1500,2014-11-02 03:36:39,2014-11-02 04:01:39,501,FDR Drive & E 35 St,40.744219,-73.97121214,472,E 32 St & Park Ave,40.7457121,-73.98194829,16706,Customer,1955,2
480,2014-11-01 19:20:55,2014-11-01 19:28:55,465,Broadway & W 41 St,40.75513557,-73.98658032,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,18734,Subscriber,1975,1
1140,2014-11-01 18:59:38,2014-11-01 19:18:38,345,W 13 St & 6 Ave,40.73649403,-73.99704374,303,Mercer St & Spring St,40.72362738,-73.99949601,20296,Subscriber,1980,2
360,2014-11-01 23:51:13,2014-11-01 23:57:13,435,W 21 St & 6 Ave,40.74173969,-73.99415556,339,Avenue D & E 12 St,40.72580614,-73.97422494,21399,Subscriber,1987,1
240,2014-11-02 06:22:21,2014-11-02 06:26:21,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,450,W 49 St & 8 Ave,40.76227205,-73.98788205,14827,Subscriber,1977,2
1500,2014-11-01 20:19:57,2014-11-01 20:44:57,382,University Pl & E 14 St,40.73492695,-73.99200509,406,Hicks St & Montague St,40.69512845,-73.99595065,20786,Subscriber,1986,1
420,2014-11-02 01:23:13,2014-11-02 01:30:13,426,West St & Chambers St,40.71754834,-74.01322069,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,20539,Subscriber,1991,2
420,2014-11-02 06:10:02,2014-11-02 06:17:02,168,W 18 St & 6 Ave,40.73971301,-73.99456405,527,E 33 St & 1 Ave,40.74315566,-73.97434726,17216,Subscriber,1988,1
420,2014-11-01 13:39:21,2014-11-01 13:46:21,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,18132,Subscriber,1964,1
1260,2014-11-01 20:00:49,2014-11-01 20:21:49,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,434,9 Ave & W 18 St,40.74317449,-74.00366443,20155,Subscriber,1983,1
900,2014-11-02 00:15:43,2014-11-02 00:30:43,229,Great Jones St,40.72743423,-73.99379025,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,17021,Subscriber,1974,1
300,2014-11-01 23:50:00,2014-11-01 23:55:00,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,20246,Subscriber,1985,1
1320,2014-11-01 10:30:34,2014-11-01 10:52:34,497,E 17 St & Broadway,40.73704984,-73.99009296,441,E 52 St & 2 Ave,40.756014,-73.967416,17428,Subscriber,1991,1
600,2014-11-02 04:20:10,2014-11-02 04:30:10,379,W 31 St & 7 Ave,40.749156,-73.9916,459,W 20 St & 11 Ave,40.746745,-74.007756,20905,Customer,1976,0
420,2014-11-02 09:45:12,2014-11-02 09:52:12,435,W 21 St & 6 Ave,40.74173969,-73.99415556,306,Cliff St & Fulton St,40.70823502,-74.00530063,21321,Subscriber,1986,1
1020,2014-11-01 23:59:17,2014-11-02 00:16:17,482,W 15 St & 7 Ave,40.73935542,-73.99931783,312,Allen St & E Houston St,40.722055,-73.989111,20172,Subscriber,1962,1
240,2014-11-01 17:48:27,2014-11-01 17:52:27,444,Broadway & W 24 St,40.7423543,-73.98915076,532,S 5 Pl & S 4 St,40.710451,-73.960876,14635,Subscriber,1979,0
600,2014-11-01 23:40:07,2014-11-01 23:50:07,515,W 43 St & 10 Ave,40.76009437,-73.99461843,358,Christopher St & Greenwich St,40.73291553,-74.00711384,21651,Subscriber,1988,1
1320,2014-11-01 14:02:54,2014-11-01 14:24:54,532,S 5 Pl & S 4 St,40.710451,-73.960876,449,W 52 St & 9 Ave,40.76461837,-73.98789473,20989,Subscriber,1975,1
1320,2014-11-02 08:04:03,2014-11-02 08:26:03,440,E 45 St & 3 Ave,40.75255434,-73.97282625,461,E 20 St & 2 Ave,40.73587678,-73.98205027,19995,Subscriber,1985,1
1020,2014-11-02 01:02:50,2014-11-02 01:19:50,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15565,Subscriber,1988,1
1860,2014-11-01 13:28:28,2014-11-01 13:59:28,439,E 4 St & 2 Ave,40.7262807,-73.98978041,517,E 41 St & Madison Ave,40.752141,-73.979782,14828,Subscriber,1970,2
1260,2014-11-01 07:22:21,2014-11-01 07:43:21,174,E 25 St & 1 Ave,40.7381765,-73.97738662,546,E 30 St & Park Ave S,40.74444921,-73.98303529,15305,Subscriber,1984,1
180,2014-11-01 17:27:14,2014-11-01 17:30:14,523,W 38 St & 8 Ave,40.75466591,-73.99138152,492,W 33 St & 7 Ave,40.75019995,-73.99093085,18769,Subscriber,1979,1
840,2014-11-01 21:28:44,2014-11-01 21:42:44,439,E 4 St & 2 Ave,40.7262807,-73.98978041,167,E 39 St & 3 Ave,40.7489006,-73.97604882,18396,Subscriber,1978,1
