tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2040,2014-01-31 09:53:18,2014-01-31 10:27:18,8,Hudson St & Reade St,40.71534,-74.00915,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20060,Customer,1960,0
840,2014-01-31 18:02:22,2014-01-31 18:16:22,60,Columbus Ave & W 72 St,40.77813,-73.97371,52,E 33 St & 1 Ave,40.74402,-73.97196,20201,Customer,1964,1
1680,2014-01-31 11:58:04,2014-01-31 12:26:04,9,W 52 St & 9 Ave,40.7644,-73.9878,41,Grand St & Elizabeth St,40.7185,-73.9972,20026,Customer,1987,0
1440,2014-01-31 16:28:42,2014-01-31 16:52:42,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,47,E 20 St & Park Ave,40.73818,-73.98433,20151,Customer,1982,2
780,2014-01-31 07:30:01,2014-01-31 07:43:01,9,W 52 St & 9 Ave,40.7644,-73.9878,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20082,Customer,1986,0
540,2014-01-31 12:00:00,2014-01-31 12:09:00,52,E 33 St & 1 Ave,40.74402,-73.97196,8,Hudson St & Reade St,40.71534,-74.00915,20004,Customer,1952,1
900,2014-01-31 12:27:41,2014-01-31 12:42:41,41,Grand St & Elizabeth St,40.7185,-73.9972,52,E 33 St & 1 Ave,40.74402,-73.97196,20087,Subscriber,1955,2
360,2014-01-31 10:14:53,2014-01-31 10:20:53,52,E 33 St & 1 Ave,40.74402,-73.97196,28,Stanton St & Chrystie St,40.72229,-73.99147,20073,Customer,2002,1
1020,2014-01-31 16:32:50,2014-01-31 16:49:50,44,St James Pl & Pearl St,40.71117,-74.00016,60,Columbus Ave & W 72 St,40.77813,-73.97371,20103,Subscriber,1976,1
1860,2014-01-31 18:04:20,2014-01-31 18:35:20,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,52,E 33 St & 1 Ave,40.74402,-73.97196,20033,Subscriber,1972,2
1920,2014-01-31 14:47:05,2014-01-31 15:19:05,28,Stanton St & Chrystie St,40.72229,-73.99147,44,St James Pl & Pearl St,40.71117,-74.00016,20233,Subscriber,1995,1
1140,2014-01-31 17:04:59,2014-01-31 17:23:59,41,Grand St & Elizabeth St,40.7185,-73.9972,60,Columbus Ave & W 72 St,40.77813,-73.97371,20032,Subscriber,1988,2
1620,2014-01-31 17:48:35,2014-01-31 18:15:35,52,E 33 St & 1 Ave,40.74402,-73.97196,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20224,Customer,1953,2
1560,2014-01-31 17:55:21,2014-01-31 18:21:21,44,St James Pl & Pearl St,40.71117,-74.00016,47,E 20 St & Park Ave,40.73818,-73.98433,20140,Subscriber,1979,1
1980,2014-01-31 11:05:55,2014-01-31 11:38:55,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,20194,Customer,1978,2
1320,2014-01-31 13:46:26,2014-01-31 14:08:26,60,Columbus Ave & W 72 St,40.77813,-73.97371,41,Grand St & Elizabeth St,40.7185,-73.9972,20088,Subscriber,1992,1
1140,2014-01-31 14:54:48,2014-01-31 15:13:48,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,47,E 20 St & Park Ave,40.73818,-73.98433,20077,Subscriber,1952,1
300,2014-01-31 23:48:00,2014-01-31 23:53:00,7,Washington Square E,40.73049,-73.99572,28,Stanton St & Chrystie St,40.72229,-73.99147,20000,Subscriber,1972,2
720,2014-01-31 17:07:00,2014-01-31 17:19:00,7,Washington Square E,40.73049,-73.99572,8,Hudson St & Reade St,40.71534,-74.00915,20009,Customer,1975,2
1680,2014-01-31 08:06:27,2014-01-31 08:34:27,47,E 20 St & Park Ave,40.73818,-73.98433,52,E 33 St & 1 Ave,40.74402,-73.97196,20191,Customer,1987,1
1740,2014-01-31 18:17:53,2014-01-31 18:46:53,8,Hudson St & Reade St,40.71534,-74.00915,41,Grand St & Elizabeth St,40.7185,-73.9972,20045,Customer,1983,1
2040,2014-01-31 13:33:23,2014-01-31 14:07:23,41,Grand St & Elizabeth St,40.7185,-73.9972,60,Columbus Ave & W 72 St,40.77813,-73.97371,20136,Customer,1952,2
720,2014-01-31 12:21:00,2014-01-31 12:33:00,7,Washington Square E,40.73049,-73.99572,9,W 52 St & 9 Ave,40.7644,-73.9878,20004,Subscriber,1986,1
1440,2014-01-31 15:38:02,2014-01-31 16:02:02,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,52,E 33 St & 1 Ave,40.74402,-73.97196,20042,Customer,1984,0
2040,2014-01-31 13:22:23,2014-01-31 13:56:23,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,20160,Customer,1952,2
1740,2014-01-31 09:41:21,2014-01-31 10:10:21,52,E 33 St & 1 Ave,40.74402,-73.97196,41,Grand St & Elizabeth St,40.7185,-73.9972,20096,Subscriber,1955,2
2100,2014-01-31 10:20:40,2014-01-31 10:55:40,60,Columbus Ave & W 72 St,40.77813,-73.97371,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20085,Subscriber,1994,0
1920,2014-01-31 13:44:19,2014-01-31 14:16:19,52,E 33 St & 1 Ave,40.74402,-73.97196,41,Grand St & Elizabeth St,40.7185,-73.9972,20064,Customer,2001,2
1740,2014-01-31 16:58:50,2014-01-31 17:27:50,41,Grand St & Elizabeth St,40.7185,-73.9972,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20079,Subscriber,2001,0
840,2014-01-31 09:17:26,2014-01-31 09:31:26,44,St James Pl & Pearl St,40.71117,-74.00016,52,E 33 St & 1 Ave,40.74402,-73.97196,20012,Subscriber,1994,1
900,2014-01-31 08:22:08,2014-01-31 08:37:08,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,20107,Subscriber,1968,0
1260,2014-01-31 16:38:40,2014-01-31 16:59:40,60,Columbus Ave & W 72 St,40.77813,-73.97371,41,Grand St & Elizabeth St,40.7185,-73.9972,20199,Subscriber,1998,0
1800,2014-01-31 15:53:15,2014-01-31 16:23:15,8,Hudson St & Reade St,40.71534,-74.00915,47,E 20 St & Park Ave,40.73818,-73.98433,20030,Customer,2004,1
780,2014-01-31 12:58:41,2014-01-31 13:11:41,60,Columbus Ave & W 72 St,40.77813,-73.97371,47,E 20 St & Park Ave,40.73818,-73.98433,20075,Customer,1969,1
900,2014-01-31 16:42:52,2014-01-31 16:57:52,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,28,Stanton St & Chrystie St,40.72229,-73.99147,20187,Customer,1997,2
420,2014-01-31 13:17:33,2014-01-31 13:24:33,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,41,Grand St & Elizabeth St,40.7185,-73.9972,20172,Customer,1974,1
1560,2014-01-31 10:23:55,2014-01-31 10:49:55,7,Washington Square E,40.73049,-73.99572,41,Grand St & Elizabeth St,40.7185,-73.9972,20109,Subscriber,1982,0
1200,2014-01-31 09:09:38,2014-01-31 09:29:38,60,Columbus Ave & W 72 St,40.77813,-73.97371,52,E 33 St & 1 Ave,40.74402,-73.97196,20108,Subscriber,1966,1
1140,2014-01-31 08:01:29,2014-01-31 08:20:29,7,Washington Square E,40.73049,-73.99572,41,Grand St & Elizabeth St,40.7185,-73.9972,20143,Subscriber,1987,0
1080,2014-01-31 13:23:38,2014-01-31 13:41:38,41,Grand St & Elizabeth St,40.7185,-73.9972,44,St James Pl & Pearl St,40.71117,-74.00016,20040,Customer,1999,1
840,2014-01-31 15:51:48,2014-01-31 16:05:48,28,Stanton St & Chrystie St,40.72229,-73.99147,47,E 20 St & Park Ave,40.73818,-73.98433,20138,Subscriber,1966,1
1980,2014-01-31 17:12:34,2014-01-31 17:45:34,8,Hudson St & Reade St,40.71534,-74.00915,47,E 20 St & Park Ave,40.73818,-73.98433,20104,Subscriber,1995,1
